<DATE>	    <OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.23	17.172	17.441	17.163	17.427	38290	0	0
2019.12.24	17.423	17.770	17.360	17.753	34020	0	0
2019.12.26	17.741	18.039	17.718	17.874	50888	0	0
2019.12.27	17.883	17.958	17.731	17.754	48413	0	0
2019.12.30	17.771	17.947	17.764	17.908	39613	0	0
2019.12.31	17.908	18.130	17.806	17.806	47414	0	0
2020.01.02	17.886	18.085	17.775	18.005	52547	0	0
2020.01.03	17.997	18.258	17.981	18.027	83568	0	0
2020.01.06	18.143	18.492	17.998	18.133	94832	0	0
2020.01.07	18.127	18.423	17.935	18.383	67970	0	0
2020.01.08	18.369	18.842	18.046	18.085	140190	0	0
2020.01.09	18.089	18.190	17.784	17.881	80146	0	0
2020.01.10	17.900	18.139	17.831	18.087	57220	0	0
2020.01.13	18.066	18.077	17.906	17.941	51153	0	0
2020.01.14	17.952	17.954	17.667	17.783	60247	0	0
2020.01.15	17.788	18.026	17.735	17.986	58294	0	0
2020.01.16	17.980	18.035	17.854	17.926	47968	0	0
2020.01.17	17.925	18.157	17.890	18.003	51932	0	0
2020.01.20	18.029	18.117	17.985	18.043	27278	0	0
2020.01.21	18.053	18.140	17.619	17.769	70866	0	0
2020.01.22	17.794	17.917	17.672	17.821	45620	0	0
2020.01.23	17.826	17.899	17.591	17.781	62061	0	0
2020.01.24	17.798	18.133	17.734	18.083	53588	0	0
2020.01.27	18.238	18.343	18.030	18.082	75054	0	0
2020.01.28	18.080	18.105	17.423	17.449	48615	0	0
2020.01.29	17.491	17.576	17.312	17.538	34172	0	0
2020.01.30	17.534	18.025	17.524	17.819	57710	0	0
2020.01.31	17.822	18.078	17.777	18.030	54714	0	0
2020.02.03	18.056	18.083	17.584	17.662	68679	0	0
2020.02.04	17.667	17.768	17.512	17.569	61730	0	0
2020.02.05	17.580	17.709	17.470	17.590	65451	0	0
2020.02.06	17.600	17.869	17.584	17.802	54691	0	0
2020.02.07	17.800	17.848	17.609	17.688	61793	0	0
2020.02.10	17.707	17.824	17.666	17.747	54402	0	0
2020.02.11	17.752	17.795	17.557	17.624	49705	0	0
2020.02.12	17.631	17.658	17.451	17.462	50335	0	0
2020.02.13	17.469	17.720	17.457	17.627	53250	0	0
2020.02.14	17.630	17.794	17.606	17.736	42427	0	0
2020.02.17	17.702	17.876	17.672	17.728	20132	0	0
