<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.23	00:00:00	17.172	17.214	17.163	17.198	3427	0	0
2019.12.23	04:00:00	17.198	17.271	17.195	17.253	4387	0	0
2019.12.23	08:00:00	17.254	17.392	17.247	17.380	7073	0	0
2019.12.23	12:00:00	17.380	17.389	17.250	17.337	9083	0	0
2019.12.23	16:00:00	17.337	17.426	17.269	17.411	10148	0	0
2019.12.23	20:00:00	17.409	17.441	17.379	17.427	4172	0	0
2019.12.24	00:00:00	17.423	17.486	17.360	17.486	3871	0	0
2019.12.24	04:00:00	17.488	17.634	17.471	17.610	7053	0	0
2019.12.24	08:00:00	17.608	17.628	17.534	17.567	6180	0	0
2019.12.24	12:00:00	17.565	17.615	17.541	17.577	6445	0	0
2019.12.24	16:00:00	17.578	17.770	17.574	17.734	9549	0	0
2019.12.24	20:00:00	17.734	17.766	17.732	17.753	922	0	0
2019.12.26	00:00:00	17.741	17.828	17.718	17.813	3280	0	0
2019.12.26	04:00:00	17.815	18.000	17.815	17.955	9606	0	0
2019.12.26	08:00:00	17.954	17.970	17.895	17.929	5085	0	0
2019.12.26	12:00:00	17.930	18.019	17.892	17.980	9313	0	0
2019.12.26	16:00:00	17.978	18.039	17.743	17.856	17651	0	0
2019.12.26	20:00:00	17.855	17.914	17.846	17.874	5953	0	0
2019.12.27	00:00:00	17.883	17.911	17.834	17.883	4241	0	0
2019.12.27	04:00:00	17.884	17.928	17.785	17.803	6822	0	0
2019.12.27	08:00:00	17.802	17.859	17.751	17.857	8528	0	0
2019.12.27	12:00:00	17.856	17.865	17.781	17.826	9979	0	0
2019.12.27	16:00:00	17.826	17.958	17.808	17.903	13204	0	0
2019.12.27	20:00:00	17.903	17.906	17.731	17.754	5639	0	0
2019.12.30	00:00:00	17.771	17.929	17.764	17.882	5546	0	0
2019.12.30	04:00:00	17.879	17.933	17.866	17.933	4403	0	0
2019.12.30	08:00:00	17.934	17.939	17.847	17.850	5629	0	0
2019.12.30	12:00:00	17.849	17.877	17.769	17.834	8782	0	0
2019.12.30	16:00:00	17.833	17.947	17.829	17.926	11858	0	0
2019.12.30	20:00:00	17.925	17.941	17.894	17.908	3395	0	0
2019.12.31	00:00:00	17.908	18.122	17.900	18.095	5792	0	0
2019.12.31	04:00:00	18.095	18.130	18.063	18.088	5564	0	0
2019.12.31	08:00:00	18.088	18.109	18.056	18.080	5213	0	0
2019.12.31	12:00:00	18.081	18.083	17.963	17.996	7268	0	0
2019.12.31	16:00:00	17.996	18.035	17.807	17.929	17904	0	0
2019.12.31	20:00:00	17.928	17.928	17.806	17.806	5673	0	0
2020.01.02	00:00:00	17.886	17.937	17.814	17.825	6237	0	0
2020.01.02	04:00:00	17.825	17.876	17.775	17.846	5605	0	0
2020.01.02	08:00:00	17.846	17.918	17.827	17.890	8337	0	0
2020.01.02	12:00:00	17.889	18.085	17.871	18.060	11078	0	0
2020.01.02	16:00:00	18.061	18.078	17.924	17.993	18002	0	0
2020.01.02	20:00:00	17.993	18.018	17.959	18.005	3288	0	0
2020.01.03	00:00:00	17.997	18.123	17.995	18.082	5524	0	0
2020.01.03	04:00:00	18.083	18.241	18.053	18.177	16486	0	0
2020.01.03	08:00:00	18.178	18.258	18.144	18.168	15982	0	0
2020.01.03	12:00:00	18.168	18.208	18.023	18.071	18959	0	0
2020.01.03	16:00:00	18.070	18.135	18.020	18.092	17617	0	0
2020.01.03	20:00:00	18.092	18.131	17.981	18.027	9000	0	0
2020.01.06	00:00:00	18.143	18.492	18.140	18.445	20295	0	0
2020.01.06	04:00:00	18.446	18.456	18.360	18.399	11575	0	0
2020.01.06	08:00:00	18.398	18.438	18.305	18.352	15379	0	0
2020.01.06	12:00:00	18.352	18.444	18.312	18.347	15184	0	0
2020.01.06	16:00:00	18.347	18.382	17.998	18.092	25467	0	0
2020.01.06	20:00:00	18.092	18.164	18.084	18.133	6932	0	0
2020.01.07	00:00:00	18.127	18.140	17.935	17.980	7710	0	0
2020.01.07	04:00:00	17.979	18.115	17.937	18.110	8652	0	0
2020.01.07	08:00:00	18.111	18.215	18.062	18.119	15043	0	0
2020.01.07	12:00:00	18.118	18.178	18.051	18.174	10471	0	0
2020.01.07	16:00:00	18.174	18.362	18.116	18.335	17372	0	0
2020.01.07	20:00:00	18.334	18.423	18.309	18.383	8722	0	0
2020.01.08	00:00:00	18.369	18.842	18.364	18.577	28645	0	0
2020.01.08	04:00:00	18.578	18.619	18.467	18.588	23756	0	0
2020.01.08	08:00:00	18.587	18.605	18.362	18.428	20003	0	0
2020.01.08	12:00:00	18.428	18.459	18.168	18.334	21056	0	0
2020.01.08	16:00:00	18.333	18.389	18.049	18.181	33497	0	0
2020.01.08	20:00:00	18.181	18.194	18.046	18.085	13233	0	0
2020.01.09	00:00:00	18.089	18.190	18.075	18.163	8007	0	0
2020.01.09	04:00:00	18.156	18.168	17.877	17.892	10189	0	0
2020.01.09	08:00:00	17.891	17.935	17.792	17.915	21181	0	0
2020.01.09	12:00:00	17.915	18.021	17.847	17.914	14231	0	0
2020.01.09	16:00:00	17.914	17.930	17.784	17.858	20037	0	0
2020.01.09	20:00:00	17.857	17.934	17.857	17.881	6501	0	0
2020.01.10	00:00:00	17.900	17.916	17.845	17.850	5257	0	0
2020.01.10	04:00:00	17.850	17.877	17.835	17.865	4198	0	0
2020.01.10	08:00:00	17.864	17.942	17.831	17.899	6633	0	0
2020.01.10	12:00:00	17.897	18.058	17.837	17.902	13292	0	0
2020.01.10	16:00:00	17.901	18.139	17.887	18.095	22636	0	0
2020.01.10	20:00:00	18.095	18.102	18.049	18.087	5204	0	0
2020.01.13	00:00:00	18.066	18.077	17.994	18.032	6268	0	0
2020.01.13	04:00:00	18.032	18.046	18.001	18.007	5467	0	0
2020.01.13	08:00:00	18.007	18.019	17.910	17.934	9698	0	0
2020.01.13	12:00:00	17.934	18.030	17.930	18.017	9490	0	0
2020.01.13	16:00:00	18.018	18.044	17.906	17.984	16566	0	0
2020.01.13	20:00:00	17.984	18.002	17.938	17.941	3664	0	0
2020.01.14	00:00:00	17.952	17.954	17.730	17.745	8759	0	0
2020.01.14	04:00:00	17.744	17.796	17.667	17.695	7376	0	0
2020.01.14	08:00:00	17.695	17.759	17.670	17.758	9234	0	0
2020.01.14	12:00:00	17.758	17.813	17.712	17.761	10513	0	0
2020.01.14	16:00:00	17.763	17.845	17.704	17.753	14639	0	0
2020.01.14	20:00:00	17.753	17.803	17.709	17.783	9726	0	0
2020.01.15	00:00:00	17.788	17.836	17.750	17.776	5827	0	0
2020.01.15	04:00:00	17.775	17.894	17.759	17.871	8165	0	0
2020.01.15	08:00:00	17.872	17.890	17.791	17.829	8760	0	0
2020.01.15	12:00:00	17.831	17.925	17.735	17.925	11057	0	0
2020.01.15	16:00:00	17.922	18.001	17.878	17.968	17231	0	0
2020.01.15	20:00:00	17.967	18.026	17.939	17.986	7254	0	0
2020.01.16	00:00:00	17.980	18.035	17.965	17.983	4804	0	0
2020.01.16	04:00:00	17.983	17.983	17.854	17.859	5274	0	0
2020.01.16	08:00:00	17.858	17.949	17.856	17.938	7399	0	0
2020.01.16	12:00:00	17.937	18.026	17.925	17.984	10069	0	0
2020.01.16	16:00:00	17.983	18.003	17.888	17.951	16372	0	0
2020.01.16	20:00:00	17.952	17.957	17.897	17.926	4050	0	0
2020.01.17	00:00:00	17.925	17.972	17.890	17.966	4385	0	0
2020.01.17	04:00:00	17.966	18.070	17.951	18.020	5619	0	0
2020.01.17	08:00:00	18.020	18.053	17.979	18.035	7162	0	0
2020.01.17	12:00:00	18.036	18.157	18.004	18.022	12699	0	0
2020.01.17	16:00:00	18.021	18.063	17.918	18.057	17783	0	0
2020.01.17	20:00:00	18.056	18.077	17.999	18.003	4284	0	0
2020.01.20	00:00:00	18.029	18.043	17.985	17.995	4949	0	0
2020.01.20	04:00:00	17.993	18.113	17.985	18.102	5308	0	0
2020.01.20	08:00:00	18.100	18.117	18.018	18.053	5923	0	0
2020.01.20	12:00:00	18.053	18.057	17.996	18.026	6001	0	0
2020.01.20	16:00:00	18.025	18.077	18.015	18.049	5095	0	0
