<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.23	1478.50	1486.09	1478.38	1485.35	100894	0	0
2019.12.24	1485.38	1500.46	1484.35	1498.67	86384	0	0
2019.12.26	1499.14	1512.55	1497.34	1510.96	127518	0	0
2019.12.27	1510.93	1515.27	1507.31	1510.64	140105	0	0
2019.12.30	1511.55	1516.08	1510.75	1514.88	116664	0	0
2019.12.31	1514.73	1525.28	1514.70	1517.18	125759	0	0
2020.01.02	1520.08	1531.24	1517.19	1528.96	153240	0	0
2020.01.03	1528.50	1553.44	1527.96	1551.03	227173	0	0
2020.01.06	1566.65	1587.97	1560.76	1565.62	270478	0	0
2020.01.07	1565.21	1577.27	1555.29	1574.12	239292	0	0
2020.01.08	1574.26	1611.34	1552.23	1556.19	345342	0	0
2020.01.09	1554.94	1561.31	1540.19	1552.22	215162	0	0
2020.01.10	1552.81	1563.14	1545.70	1562.74	165363	0	0
2020.01.13	1559.89	1560.60	1546.49	1547.74	137230	0	0
2020.01.14	1548.53	1548.83	1535.89	1546.22	181418	0	0
2020.01.15	1546.49	1558.13	1546.35	1556.15	162655	0	0
2020.01.16	1555.65	1558.05	1548.00	1552.24	132732	0	0
2020.01.17	1552.18	1561.22	1549.37	1556.74	131675	0	0
2020.01.20	1558.35	1562.74	1556.32	1560.65	67072	0	0
2020.01.21	1560.77	1568.58	1546.29	1558.05	180469	0	0
2020.01.22	1559.09	1559.23	1550.16	1558.68	132621	0	0
2020.01.23	1558.85	1567.92	1551.90	1562.76	180969	0	0
2020.01.24	1563.18	1575.84	1556.52	1570.62	164265	0	0
2020.01.27	1580.80	1588.60	1575.83	1581.81	237712	0	0
2020.01.28	1581.48	1583.01	1565.50	1567.01	193250	0	0
2020.01.29	1566.57	1577.97	1563.33	1576.79	161662	0	0
2020.01.30	1575.68	1585.94	1572.30	1574.13	231688	0	0
2020.01.31	1574.40	1590.01	1570.91	1589.77	222126	0	0
2020.02.03	1589.55	1592.00	1569.72	1576.69	225222	0	0
2020.02.04	1578.83	1579.61	1549.01	1552.78	195592	0	0
2020.02.05	1553.10	1562.35	1547.44	1555.87	217852	0	0
2020.02.06	1555.82	1568.24	1552.47	1566.57	184665	0	0
2020.02.07	1566.08	1574.01	1560.48	1570.21	193713	0	0
2020.02.10	1572.28	1576.96	1567.93	1572.05	178598	0	0
2020.02.11	1572.17	1574.00	1562.09	1567.62	162506	0	0
2020.02.12	1567.50	1570.43	1561.84	1565.88	145065	0	0
2020.02.13	1566.20	1578.24	1565.52	1575.84	187011	0	0
2020.02.14	1576.12	1584.97	1573.01	1584.49	145189	0	0
2020.02.17	1580.93	1583.72	1578.84	1579.23	67905	0	0
2020.02.18	1583.53	1605.06	1582.92	1601.38	172974	0	0
2020.02.19	1601.29	1612.89	1599.47	1611.59	183603	0	0
2020.02.20	1610.69	1623.67	1603.85	1619.50	253584	0	0
2020.02.21	1620.00	1649.20	1618.93	1643.50	278295	0	0
2020.02.24	1657.42	1689.28	1650.83	1659.13	369737	0	0
2020.02.25	1657.97	1660.82	1625.22	1634.49	397638	0	0
2020.02.26	1637.04	1654.95	1624.90	1640.62	352607	0	0
2020.02.27	1640.80	1660.25	1635.25	1644.42	369176	0	0
2020.02.28	1642.64	1649.43	1562.86	1585.13	391270	0	0
2020.03.02	1589.10	1610.97	1575.34	1589.44	391243	0	0
2020.03.03	1587.43	1649.21	1587.40	1640.35	316582	0	0
2020.03.04	1638.20	1652.59	1631.84	1636.70	282769	0	0
2020.03.05	1637.68	1674.55	1634.92	1671.86	285703	0	0
2020.03.06	1671.98	1692.09	1642.43	1673.84	353868	0	0
2020.03.09	1692.96	1703.23	1657.32	1680.01	275465	0	0
2020.03.10	1679.11	1680.38	1641.69	1649.18	366754	0	0
2020.03.11	1649.70	1671.20	1632.97	1634.84	315593	0	0
2020.03.12	1636.88	1650.30	1560.65	1576.34	325762	0	0
2020.03.13	1576.06	1597.92	1504.54	1529.26	308020	0	0
2020.03.16	1556.39	1575.29	1451.16	1513.44	332343	0	0
2020.03.17	1503.19	1553.95	1465.51	1528.56	307013	0	0
2020.03.18	1528.17	1546.23	1472.81	1486.39	283254	0	0
2020.03.19	1486.26	1500.69	1464.10	1471.78	255500	0	0
2020.03.20	1470.63	1515.90	1454.90	1497.20	267890	0	0
2020.03.23	1507.88	1561.13	1482.33	1553.61	274239	0	0
2020.03.24	1553.26	1632.89	1553.23	1628.46	82512	0	0
2020.03.25	1630.33	1638.97	1595.58	1616.22	64984	0	0
2020.03.26	1614.12	1644.56	1595.22	1628.27	68543	0	0
2020.03.27	1634.54	1635.28	1613.71	1619.20	101906	0	0
2020.03.30	1625.90	1632.95	1610.61	1621.98	85623	0	0
2020.03.31	1621.02	1622.58	1574.30	1576.38	130584	0	0
2020.04.01	1577.80	1599.85	1568.31	1590.29	125683	0	0
2020.04.02	1589.15	1619.76	1582.94	1611.87	150928	0	0
2020.04.03	1615.84	1625.27	1605.80	1619.62	119702	0	0
2020.04.06	1618.72	1668.66	1608.70	1659.50	124970	0	0
2020.04.07	1661.98	1673.95	1642.32	1646.96	121418	0	0
2020.04.08	1645.17	1656.47	1640.98	1644.93	117220	0	0
2020.04.09	1643.41	1690.20	1642.89	1682.82	157694	0	0
2020.04.13	1681.48	1722.52	1674.46	1714.15	130903	0	0
2020.04.14	1713.55	1747.71	1708.69	1726.60	197650	0	0
2020.04.15	1727.55	1731.13	1707.51	1716.23	160477	0	0
2020.04.16	1716.51	1738.69	1707.87	1716.59	202871	0	0
2020.04.17	1714.47	1718.57	1679.42	1683.84	205947	0	0
2020.04.20	1681.14	1702.31	1671.50	1694.63	184276	0	0
2020.04.21	1693.79	1697.83	1659.38	1685.87	179188	0	0
2020.04.22	1686.23	1718.61	1680.30	1713.59	193594	0	0
2020.04.23	1713.08	1738.61	1707.07	1729.77	205238	0	0
2020.04.24	1730.15	1736.21	1710.36	1726.70	185608	0	0
2020.04.27	1725.09	1727.24	1706.04	1713.66	206855	0	0
2020.04.28	1713.54	1716.06	1691.67	1708.00	250145	0	0
2020.04.29	1708.18	1717.29	1697.85	1712.55	211464	0	0
