<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.23	00:00:00	1478.50	1479.70	1478.38	1479.63	6781	0	0
2019.12.23	04:00:00	1479.63	1481.67	1479.20	1481.12	10819	0	0
2019.12.23	08:00:00	1481.13	1485.17	1480.98	1484.94	21473	0	0
2019.12.23	12:00:00	1484.94	1485.23	1480.51	1483.25	21197	0	0
2019.12.23	16:00:00	1483.24	1484.82	1481.78	1483.91	26937	0	0
2019.12.23	20:00:00	1483.90	1486.09	1483.88	1485.35	13687	0	0
2019.12.24	00:00:00	1485.38	1487.52	1484.35	1487.52	8130	0	0
2019.12.24	04:00:00	1487.52	1490.81	1487.19	1490.22	13764	0	0
2019.12.24	08:00:00	1490.21	1492.92	1489.36	1490.95	17152	0	0
2019.12.24	12:00:00	1490.94	1492.43	1488.76	1490.17	16943	0	0
2019.12.24	16:00:00	1490.18	1500.46	1490.08	1499.50	28041	0	0
2019.12.24	20:00:00	1499.50	1499.82	1498.44	1498.67	2354	0	0
2019.12.26	00:00:00	1499.14	1501.29	1497.34	1501.26	11649	0	0
2019.12.26	04:00:00	1501.29	1505.51	1501.19	1504.46	18576	0	0
2019.12.26	08:00:00	1504.47	1504.77	1502.67	1504.10	13920	0	0
2019.12.26	12:00:00	1504.10	1508.28	1503.41	1507.82	22027	0	0
2019.12.26	16:00:00	1507.82	1512.55	1506.59	1508.57	41747	0	0
2019.12.26	20:00:00	1508.56	1512.36	1508.29	1510.96	19599	0	0
2019.12.27	00:00:00	1510.93	1511.63	1509.17	1510.44	14513	0	0
2019.12.27	04:00:00	1510.38	1514.07	1509.64	1510.41	18866	0	0
2019.12.27	08:00:00	1510.41	1511.90	1507.31	1511.84	26932	0	0
2019.12.27	12:00:00	1511.82	1512.43	1508.68	1510.48	24691	0	0
2019.12.27	16:00:00	1510.44	1515.27	1509.36	1514.11	37087	0	0
2019.12.27	20:00:00	1514.06	1514.11	1510.06	1510.64	18016	0	0
2019.12.30	00:00:00	1511.55	1515.06	1511.04	1514.19	13754	0	0
2019.12.30	04:00:00	1514.16	1515.81	1513.53	1515.20	12426	0	0
2019.12.30	08:00:00	1515.11	1515.29	1512.38	1512.98	18702	0	0
2019.12.30	12:00:00	1512.91	1513.51	1510.75	1512.46	22475	0	0
2019.12.30	16:00:00	1512.40	1516.08	1512.19	1515.08	36779	0	0
2019.12.30	20:00:00	1515.10	1515.93	1514.43	1514.88	12528	0	0
2019.12.31	00:00:00	1514.73	1521.97	1514.70	1521.25	13002	0	0
2019.12.31	04:00:00	1521.26	1524.08	1520.82	1523.29	13431	0	0
2019.12.31	08:00:00	1523.28	1525.28	1522.78	1523.69	14383	0	0
2019.12.31	12:00:00	1523.71	1524.21	1519.85	1520.80	18855	0	0
2019.12.31	16:00:00	1520.79	1524.81	1516.62	1522.69	48557	0	0
2019.12.31	20:00:00	1522.70	1522.86	1516.95	1517.18	17531	0	0
2020.01.02	00:00:00	1520.08	1521.23	1517.19	1519.39	16570	0	0
2020.01.02	04:00:00	1519.38	1521.16	1518.39	1520.27	13603	0	0
2020.01.02	08:00:00	1520.37	1521.39	1518.44	1520.67	25654	0	0
2020.01.02	12:00:00	1520.68	1529.01	1519.71	1528.06	25703	0	0
2020.01.02	16:00:00	1528.08	1531.24	1522.79	1525.25	49885	0	0
2020.01.02	20:00:00	1525.25	1529.07	1524.89	1528.96	21825	0	0
2020.01.03	00:00:00	1528.50	1535.78	1527.96	1534.94	16370	0	0
2020.01.03	04:00:00	1534.93	1543.84	1532.61	1541.37	44091	0	0
